district,text,rating,source,lat,lon,sentiment_label,sentiment_score,sentiment_numeric
Ворошиловский,Газпром — работает (24/7),4,osm_active,48.69809272580099,44.44256061272606,POSITIVE,1.0,1.0
Ворошиловский,Лукойл — работает (24/7),4,osm_active,48.69260491993433,44.44766095860893,POSITIVE,1.0,1.0
Ворошиловский,"ИП Егиазарян Артур Ваганович ""Солнышко"" — работает (24/7)",4,osm_active,48.70546360072047,44.44468269223168,POSITIVE,1.0,1.0
Ворошиловский,VIRBACauto — работает (Mo-Fr 9:00-20:00; Sa 09:00-18:00; Su 09:00-17:00),4,osm_active,48.699668294192776,44.45017904465943,POSITIVE,1.0,1.0
Ворошиловский,Лукойл — работает (24/7),4,osm_active,48.7032664359373,44.43479365875399,POSITIVE,1.0,1.0
Ворошиловский,Парикмахерская — работает (10:00-19:00),4,osm_active,48.6980677292208,44.448381060219674,POSITIVE,1.0,1.0
Ворошиловский,Магнит — работает (Mo-Su 08:30-21:30),4,osm_active,48.69557900574481,44.4458554535926,POSITIVE,1.0,1.0
Ворошиловский,Алоэ — работает (Mo-Su 09:00-22:00),4,osm_active,48.69599489192826,44.44676724218316,POSITIVE,1.0,1.0
Ворошиловский,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.69638262619908,44.45192200272826,POSITIVE,1.0,1.0
Ворошиловский,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.6958088433043,44.4445545689784,POSITIVE,1.0,1.0
Ворошиловский,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.69622903921264,44.44658694373294,POSITIVE,1.0,1.0
Ворошиловский,Авито — работает (Mo-Su 09:00-21:00),4,osm_active,48.69693660633573,44.447242220489095,POSITIVE,1.0,1.0
Ворошиловский,Блокпост — работает (Mo-Su 09:00-19:00),4,osm_active,48.70463607771189,44.45013083117411,POSITIVE,1.0,1.0
Ворошиловский,Много магазинов (11),5,infra,48.70346289928086,44.446644505148825,POSITIVE,1.0,1.0
Ворошиловский,Транспорт норм (13),4,infra,48.69764664911684,44.44388840877129,NEUTRAL,0.5,0.5
Ворошиловский,Парков нет,2,infra,48.699779170178005,44.44587896591933,NEUTRAL,0.5,0.5
Ворошиловский,Есть поликлиника,4,infra,48.69596214006647,44.4500021629575,NEUTRAL,0.5,0.5
Ворошиловский,Кафе нет,2,infra,48.69908999091728,44.44085665658019,NEUTRAL,0.5,0.5
Дзержинский,Лукойл — работает (24/7),4,osm_active,48.75531200811835,44.475979859913565,POSITIVE,1.0,1.0
Дзержинский,Лукойл — работает (24/7),4,osm_active,48.757266870257176,44.47160191669701,POSITIVE,1.0,1.0
Дзержинский,Лукойл — работает (24/7),4,osm_active,48.75307224085074,44.47604212365415,POSITIVE,1.0,1.0
Дзержинский,Есть Научная библиотека ВА МВД (library),4,osm_positive,48.75283090214098,44.46993271043605,NEUTRAL,0.5,0.5
Дзержинский,Аптека №39 — работает (24/7),4,osm_active,48.75370151673636,44.47456572908243,POSITIVE,1.0,1.0
Дзержинский,Аптечный пункт — работает (08:00-20:00),4,osm_active,48.75923898590043,44.46674562698105,POSITIVE,1.0,1.0
Дзержинский,Аптечный пункт — доступен,5,osm_access,48.75725259594382,44.47139622908494,POSITIVE,1.0,1.0
Дзержинский,Покупочка — работает (Mo-Su 08:00-22:00),4,osm_active,48.75248828657888,44.47085667649864,POSITIVE,1.0,1.0
Дзержинский,Покупочка — доступен,5,osm_access,48.7562232978085,44.470980621701635,POSITIVE,1.0,1.0
Дзержинский,Продукты — работает (24/7),4,osm_active,48.74991130658654,44.46798355074494,POSITIVE,1.0,1.0
Дзержинский,Волгофарм — доступен,5,osm_access,48.753566050256254,44.468072819290384,POSITIVE,1.0,1.0
Дзержинский,Радеж — работает (24/7),4,osm_active,48.756822139741175,44.46671398162803,POSITIVE,1.0,1.0
Дзержинский,Rusoil — работает (24/7),4,osm_active,48.75394951448724,44.466001912979586,POSITIVE,1.0,1.0
Дзержинский,"Teboil — работает (Mo-Su 00:10-03:45,04:00-23:55)",4,osm_active,48.75576732370137,44.47339398087822,POSITIVE,1.0,1.0
Дзержинский,Радеж — работает (08:00-23:00),4,osm_active,48.75797222037232,44.4685541283248,POSITIVE,1.0,1.0
Дзержинский,"Управляющая компания Энергопром — работает (Mo-We 8:00-12:00, 13:00-17:00;Th 08:00-12:00, 13:00-19:00;Fr 08:00-12:00, 13:00-16:00;Sa[1] 10:00-13:00)",4,osm_active,48.74914311689762,44.47520836001072,POSITIVE,1.0,1.0
Дзержинский,Управляющая компания Энергопром — недоступен,2,osm_access,48.759541264643445,44.46890050039436,NEGATIVE,0.0,0.0
Дзержинский,Дом оптики — работает (09:00-19:00),4,osm_active,48.75313022114907,44.47108199240491,POSITIVE,1.0,1.0
Дзержинский,Дом оптики — доступен,5,osm_access,48.75277881489758,44.47514049317011,POSITIVE,1.0,1.0
Дзержинский,Продукты — работает (08:00-22:00),4,osm_active,48.75503641929236,44.47363172092369,POSITIVE,1.0,1.0
Дзержинский,Золотой стандарт — работает (Mo-Su 08:00-20:00),4,osm_active,48.75653950725142,44.472508372509424,POSITIVE,1.0,1.0
Дзержинский,Чай и кофе — доступен,5,osm_access,48.75502764352005,44.471284980864475,POSITIVE,1.0,1.0
Дзержинский,Грузовые запчасти — работает (Mo-Su 08:00-18:00),4,osm_active,48.75474433103602,44.471810408785615,POSITIVE,1.0,1.0
Дзержинский,Медуница — работает (24/7),4,osm_active,48.75528456453989,44.47180177637394,POSITIVE,1.0,1.0
Дзержинский,Медуница — недоступен,2,osm_access,48.75912193686721,44.471490136213106,NEGATIVE,0.0,0.0
Дзержинский,Айболит — работает (10:00-20:00),4,osm_active,48.76372797233952,44.47567598164742,POSITIVE,1.0,1.0
Дзержинский,Бунжур — работает (10:00-19:30),4,osm_active,48.755180454299925,44.47777142121366,POSITIVE,1.0,1.0
Дзержинский,FreshStyle — работает (Mo-Su 09:00-20:00),4,osm_active,48.75624198461818,44.472232436871835,POSITIVE,1.0,1.0
Дзержинский,FreshStyle — недоступен,2,osm_access,48.754736208192455,44.469122110069435,NEGATIVE,0.0,0.0
Дзержинский,Продукты — работает (08:00-23:00),4,osm_active,48.75572274482259,44.470781293254326,POSITIVE,1.0,1.0
Дзержинский,Чай и кофе — доступен,5,osm_access,48.75606433973191,44.473614362010075,POSITIVE,1.0,1.0
Дзержинский,Золушка — работает (10:00-20:00),4,osm_active,48.75661293597491,44.475220144518346,POSITIVE,1.0,1.0
Дзержинский,Канистра — работает (Mo-Su 09:00-19:00),4,osm_active,48.75815950828349,44.476791633999625,POSITIVE,1.0,1.0
Дзержинский,ТАВС Волга — работает (08:00-12:30; 13:00-19:00),4,osm_active,48.76093088634792,44.47076294035055,POSITIVE,1.0,1.0
Дзержинский,Салон красоты для животных — работает (10:00-20:00),4,osm_active,48.75278154265685,44.468547192190584,POSITIVE,1.0,1.0
Дзержинский,Водный сервис — работает (Mo-Fr 09:00-18:00; Sa Off; Su Off),4,osm_active,48.75980395947936,44.47046406919613,POSITIVE,1.0,1.0
Дзержинский,Ринтек — работает (09:00-19:00),4,osm_active,48.75239599301185,44.46886729447301,POSITIVE,1.0,1.0
Дзержинский,Властёна — работает (Mo-Su 07:00-23:00),4,osm_active,48.75284905662625,44.47227435436901,POSITIVE,1.0,1.0
Дзержинский,Зебра — недоступен,2,osm_access,48.75832845464154,44.471643967230754,NEGATIVE,0.0,0.0
Дзержинский,Пивной край — работает (09:00-22:00),4,osm_active,48.75495424714402,44.47762599110929,POSITIVE,1.0,1.0
Дзержинский,Мастер-Крепеж — работает (09:00-20:00),4,osm_active,48.75581995052787,44.46811291818506,POSITIVE,1.0,1.0
Дзержинский,Промтик — работает (Mo-Fr 10:00-19:00; Sa 10:00-17:00),4,osm_active,48.75421612145401,44.47104082052321,POSITIVE,1.0,1.0
Дзержинский,Рем-рест строй — работает (Mo-Su 09:00-19:00),4,osm_active,48.75991225016065,44.469342565844705,POSITIVE,1.0,1.0
Дзержинский,купимебель34 — работает (24/7),4,osm_active,48.752824077436145,44.468646431086135,POSITIVE,1.0,1.0
Дзержинский,"Салон мототехники BRP (квадро-, гидроциклы. снегоходы) — работает (Mo-Sa 10:00-19:00)",4,osm_active,48.76236262604362,44.4659962240155,POSITIVE,1.0,1.0
Дзержинский,Магнит Семейный — работает (Mo-Su 08:30-22:00),4,osm_active,48.75710495077206,44.47253454589137,POSITIVE,1.0,1.0
Дзержинский,Микрос — работает (Mo-Fr 09:00-19:00; Sa 09:00-17:00),4,osm_active,48.75183622045131,44.47148056322094,POSITIVE,1.0,1.0
Дзержинский,KDL — работает (Mo-Fr 07:00-14:00; Sa 07:00-12:00),4,osm_active,48.7537887822298,44.47299312151996,POSITIVE,1.0,1.0
Дзержинский,Вита Экспресс — работает (Mo-Su 08:00-20:00),4,osm_active,48.753298280592624,44.46884847782272,POSITIVE,1.0,1.0
Дзержинский,Вита Экспресс — работает (Mo-Su 08:00-20:00),4,osm_active,48.75588633323384,44.47135399322693,POSITIVE,1.0,1.0
Дзержинский,Belwest — работает (Mo-Su 10:00-20:00),4,osm_active,48.76031113827395,44.474271426186704,POSITIVE,1.0,1.0
Дзержинский,DNS — работает (Mo-Su 10:00-22:00),4,osm_active,48.751835499477735,44.47051037923259,POSITIVE,1.0,1.0
Дзержинский,Еаптека — работает (Mo-Su 08:00-20:00),4,osm_active,48.75163131848507,44.46677004009927,POSITIVE,1.0,1.0
Дзержинский,Быстроденьги — работает (Mo-Fr 09:00-20:00;Sa-Su 09:00-19:00),4,osm_active,48.753548206862014,44.466754237998224,POSITIVE,1.0,1.0
Дзержинский,Q Store — работает (Mo-Su 10:00-22:00),4,osm_active,48.75905872037737,44.47348368870208,POSITIVE,1.0,1.0
Дзержинский,СДЭК — работает (Mo-Fr 10:00-21:00; Sa-Su 10:00-20:00),4,osm_active,48.75883184822976,44.47890742326495,POSITIVE,1.0,1.0
Дзержинский,СДЭК — работает (Mo-Fr 08:00-18:00; Sa-Su 09:00-18:00),4,osm_active,48.75653183349522,44.47248691483075,POSITIVE,1.0,1.0
Дзержинский,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.754089850045155,44.46974541185736,POSITIVE,1.0,1.0
Дзержинский,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.75585548526421,44.473712541576994,POSITIVE,1.0,1.0
Дзержинский,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.755166416104856,44.46842033701731,POSITIVE,1.0,1.0
Дзержинский,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.75685129574846,44.47088695548484,POSITIVE,1.0,1.0
Дзержинский,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.75122988136622,44.47140833001107,POSITIVE,1.0,1.0
Дзержинский,"Teboil — работает (Mo-Su 00:10-03:45,04:00-23:55)",4,osm_active,48.747415984396895,44.47296730426048,POSITIVE,1.0,1.0
Дзержинский,M.Видео — работает (Mo-Su 10:00-21:00),4,osm_active,48.759831088356925,44.46792037640884,POSITIVE,1.0,1.0
Дзержинский,МТС — работает (Mo-Su 10:00-21:00),4,osm_active,48.757447023066774,44.47099889166002,POSITIVE,1.0,1.0
Дзержинский,МТС — работает (Mo-Su 09:00-19:00),4,osm_active,48.750191815934826,44.47552698932515,POSITIVE,1.0,1.0
Дзержинский,Билайн — работает (Mo-Su 09:00-19:00),4,osm_active,48.759437726030605,44.47226103807047,POSITIVE,1.0,1.0
Дзержинский,Билайн — работает (Mo-Su 10:00-22:00),4,osm_active,48.75189252160043,44.47306507141047,POSITIVE,1.0,1.0
Дзержинский,"Спортивно-досуговый клуб ""Дзержинец"" — работает (Mo-Fr 11:00-21:00)",4,osm_active,48.75296599131521,44.47096272721714,POSITIVE,1.0,1.0
Дзержинский,Ozon — работает (Mo-Su 10:00-21:00),4,osm_active,48.754197761228774,44.469170790078,POSITIVE,1.0,1.0
Дзержинский,Победа — работает (Mo-Su 08:00-20:00),4,osm_active,48.750159184891174,44.47105515006358,POSITIVE,1.0,1.0
Дзержинский,Boston Technic — работает (Mo-Su 08:00-20:00),4,osm_active,48.75148113761918,44.46686649891112,POSITIVE,1.0,1.0
Дзержинский,Boston Auto — работает (Mo-Su 08:00-20:00),4,osm_active,48.756557685551755,44.47043918375686,POSITIVE,1.0,1.0
Дзержинский,Билайн — работает (Mo-Su 09:00-18:00),4,osm_active,48.75905073698487,44.46744727981714,POSITIVE,1.0,1.0
Дзержинский,Тортуга — работает (Mo-Su 09:00-22:00),4,osm_active,48.75870298694708,44.47051776247014,POSITIVE,1.0,1.0
Дзержинский,Капитальник — работает (Mo-Fr 08:30-17:30),4,osm_active,48.75638283395169,44.472823185473686,POSITIVE,1.0,1.0
Дзержинский,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.756675492331944,44.47402128965603,POSITIVE,1.0,1.0
Дзержинский,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.75554857674595,44.473981933605195,POSITIVE,1.0,1.0
Дзержинский,Инвитро — работает (Mo-Fr 07:00-17:00; Sa 08:00-14:00),4,osm_active,48.75600863985663,44.47405725435828,POSITIVE,1.0,1.0
Дзержинский,Инвитро — работает (Mo-Fr 07:00-16:00; Sa 08:00-14:00),4,osm_active,48.754020357962254,44.47052434915879,POSITIVE,1.0,1.0
Дзержинский,Л'Этуаль — работает (Mo-Su 10:00-22:00),4,osm_active,48.75113055442013,44.46999775370907,POSITIVE,1.0,1.0
Дзержинский,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.753714354733454,44.47274743225191,POSITIVE,1.0,1.0
Дзержинский,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.75745123071403,44.47178608911376,POSITIVE,1.0,1.0
Дзержинский,Вита Экспресс — работает (Mo-Su 09:00-20:00),4,osm_active,48.75897161936856,44.47020231148754,POSITIVE,1.0,1.0
Дзержинский,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.75361052213011,44.46873796908228,POSITIVE,1.0,1.0
Дзержинский,Foton — работает (Mo-Fr 09:00-19:00; Sa 09:00-15:30),4,osm_active,48.75507869890872,44.46991547738057,POSITIVE,1.0,1.0
Дзержинский,Modis — работает (Mo-Su 10:00-21:00),4,osm_active,48.75721712211689,44.47255513651693,POSITIVE,1.0,1.0
Дзержинский,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.75045969151477,44.46911716611857,POSITIVE,1.0,1.0
Дзержинский,Aik Бистро — работает (24/7),4,osm_active,48.754359457744336,44.46945560650299,POSITIVE,1.0,1.0
Дзержинский,Sunlight — работает (Mo-Su 09:00-20:00),4,osm_active,48.761106384284666,44.473019997018184,POSITIVE,1.0,1.0
Дзержинский,Boxberry — работает (Mo-Fr 10:00-19:00; Sa-Su 10:00-16:00),4,osm_active,48.75830404899164,44.474992954248854,POSITIVE,1.0,1.0
Дзержинский,Sokolov — работает (Mo-Su 10:00-22:00),4,osm_active,48.75645246069051,44.47329181021891,POSITIVE,1.0,1.0
Дзержинский,Sokolov — работает (Mo-Su 10:00-21:00),4,osm_active,48.75764011943635,44.47141718265274,POSITIVE,1.0,1.0
Дзержинский,Sunlight — работает (Mo-Su 09:00-20:00),4,osm_active,48.75335299812724,44.47365549922758,POSITIVE,1.0,1.0
Дзержинский,Lada Агат — работает (Mo-Su 08:00-20:00),4,osm_active,48.7552979199678,44.47003658182321,POSITIVE,1.0,1.0
Дзержинский,Продсклад Победа — работает (Mo-Su 08:00-21:00),4,osm_active,48.75982880485399,44.47329704747965,POSITIVE,1.0,1.0
Дзержинский,Fix Price — работает (Mo-Su 08:00-21:00),4,osm_active,48.757157815900314,44.4683109980939,POSITIVE,1.0,1.0
Дзержинский,Fix Price — работает (Mo-Su 09:00-21:00),4,osm_active,48.75200516418629,44.47292908563481,POSITIVE,1.0,1.0
Дзержинский,Fix Price — работает (Mo-Su 09:00-21:00),4,osm_active,48.758297694538584,44.47151583439358,POSITIVE,1.0,1.0
Дзержинский,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.75696134859735,44.46332643087078,POSITIVE,1.0,1.0
Дзержинский,Sunlight — работает (Mo-Su 09:00-20:00),4,osm_active,48.754529205392544,44.46858634892749,POSITIVE,1.0,1.0
Дзержинский,Есть МОУ Центр детского творчества (community_centre),4,osm_positive,48.75476397204161,44.46798076426116,NEUTRAL,0.5,0.5
Дзержинский,Капучино — работает (12:00-24:00),4,osm_active,48.75001875076135,44.4750272945978,POSITIVE,1.0,1.0
Дзержинский,Рустерc — работает (24/7),4,osm_active,48.75418817181214,44.46478866432462,POSITIVE,1.0,1.0
Дзержинский,Шаверма — доступен,5,osm_access,48.75068794632684,44.47391819105962,POSITIVE,1.0,1.0
Дзержинский,МБУ СШОР №10 — работает (Mo-Sa 8:30-21:00),4,osm_active,48.75548182526096,44.47166365782998,POSITIVE,1.0,1.0
Дзержинский,Много магазинов (26),5,infra,48.7523443612636,44.480204616125654,POSITIVE,1.0,1.0
Дзержинский,Отличный транспорт (19),5,infra,48.75812021798045,44.47387056750575,NEUTRAL,0.5,0.5
Дзержинский,Парки (3),5,infra,48.75567562274355,44.473094348808345,NEUTRAL,0.5,0.5
Дзержинский,Площадки (8),5,infra,48.7590552411178,44.47279437388975,NEUTRAL,0.5,0.5
Дзержинский,Есть поликлиника,4,infra,48.75239682975541,44.46947414159463,NEUTRAL,0.5,0.5
Дзержинский,"Школы (5), садики (6)",5,infra,48.76097547283414,44.46938876575543,NEUTRAL,0.5,0.5
Дзержинский,Развитый район,5,infra,48.75413024971229,44.468090002443745,POSITIVE,1.0,1.0
Кировский,Магазинов нет,1,infra,48.605707322151616,44.48374885873471,NEUTRAL,0.5,0.5
Кировский,Плохой транспорт,1,infra,48.61058504420687,44.48187133858672,NEUTRAL,0.5,0.5
Кировский,Парков нет,2,infra,48.60844905906408,44.48731394101547,NEUTRAL,0.5,0.5
Кировский,Площадок нет,1,infra,48.60398099623729,44.48284155637728,NEUTRAL,0.5,0.5
Кировский,Нет поликлиники,2,infra,48.602123385787806,44.47985372119239,NEUTRAL,0.5,0.5
Кировский,Аптек нет,1,infra,48.606812138703944,44.47807887776623,NEUTRAL,0.5,0.5
Кировский,Кафе нет,2,infra,48.60272701196984,44.48805897001989,NEUTRAL,0.5,0.5
Кировский,Слабая инфраструктура,2,infra,48.60917120442635,44.4840336214137,NEUTRAL,0.5,0.5
Краснооктябрьский,"Teboil — работает (Mo-Su 00:10-03:45,04:00-23:55)",4,osm_active,48.77336702341725,44.55274517639766,POSITIVE,1.0,1.0
Краснооктябрьский,Teboil — доступен,5,osm_access,48.77962095723474,44.5604502331298,POSITIVE,1.0,1.0
Краснооктябрьский,Газпром — работает (24/7),4,osm_active,48.77309228870006,44.55595779175579,POSITIVE,1.0,1.0
Краснооктябрьский,Лукойл — работает (24/7),4,osm_active,48.78038584777336,44.55399106676852,POSITIVE,1.0,1.0
Краснооктябрьский,Газпром — работает (24/7),4,osm_active,48.77463630778335,44.54858018973904,POSITIVE,1.0,1.0
Краснооктябрьский,Сбербанк — работает (Mo-Fr 09:00-18:00),4,osm_active,48.77523818511385,44.552439475575355,POSITIVE,1.0,1.0
Краснооктябрьский,Магнит — недоступен,2,osm_access,48.7768833812404,44.55780862665193,NEGATIVE,0.0,0.0
Краснооктябрьский,Есть Библиотека № 8 (library),4,osm_positive,48.77544652127784,44.55515080948679,NEUTRAL,0.5,0.5
Краснооктябрьский,Медтехника — доступен,5,osm_access,48.77866787376577,44.553731522011,POSITIVE,1.0,1.0
Краснооктябрьский,Есть Библиотека № 6 им. В.В. Маяковского (library),4,osm_positive,48.77384951354431,44.550128559363095,NEUTRAL,0.5,0.5
Краснооктябрьский,Пятёрочка — доступен,5,osm_access,48.77489232774645,44.551075395009725,POSITIVE,1.0,1.0
Краснооктябрьский,Магнит — доступен,5,osm_access,48.77586108404245,44.5583509289032,POSITIVE,1.0,1.0
Краснооктябрьский,Почта России — доступен,5,osm_access,48.778181722668585,44.55481294511939,POSITIVE,1.0,1.0
Краснооктябрьский,Vega — доступен,5,osm_access,48.77720988304552,44.55132610875991,POSITIVE,1.0,1.0
Краснооктябрьский,Аккрас — работает (Mo-Fr 09:00-19:00; Sa 09:00-18:00; Su Off),4,osm_active,48.777137705559774,44.54897486050477,POSITIVE,1.0,1.0
Краснооктябрьский,Аккрас — недоступен,2,osm_access,48.77480700490473,44.552554226001504,NEGATIVE,0.0,0.0
Краснооктябрьский,Покупочка — работает (Mo-Su 08:00-23:00),4,osm_active,48.77661940238834,44.55467748785415,POSITIVE,1.0,1.0
Краснооктябрьский,Покупочка — доступен,5,osm_access,48.77750434762753,44.554377190929216,POSITIVE,1.0,1.0
Краснооктябрьский,Конфетки-бараночки — работает (Mo-Sa 08:00-21:00; Su 09:00-21:00),4,osm_active,48.775636439411095,44.54594807882192,POSITIVE,1.0,1.0
Краснооктябрьский,Конфетки-бараночки — доступен,5,osm_access,48.77648317025691,44.54897111075646,POSITIVE,1.0,1.0
Краснооктябрьский,Радеж — работает (24/7),4,osm_active,48.7768528373881,44.5538504631346,POSITIVE,1.0,1.0
Краснооктябрьский,Магнит — доступен,5,osm_access,48.76783101365379,44.556173922836905,POSITIVE,1.0,1.0
Краснооктябрьский,Сбербанк — доступен,5,osm_access,48.76943376971083,44.550184962232606,POSITIVE,1.0,1.0
Краснооктябрьский,Вита Экспресс — работает (Mo-Fr 08:00-20:00;Sa-Su 09:00-20:00),4,osm_active,48.77755793742403,44.55726454953823,POSITIVE,1.0,1.0
Краснооктябрьский,Озерки — работает (Mo-Sa 08:00-21:00),4,osm_active,48.77486843989065,44.55334397263684,POSITIVE,1.0,1.0
Краснооктябрьский,Магнит — работает (08:00-23:00),4,osm_active,48.7784086420107,44.55580011251918,POSITIVE,1.0,1.0
Краснооктябрьский,Волгофарм — доступен,5,osm_access,48.77073679335109,44.548755039472475,POSITIVE,1.0,1.0
Краснооктябрьский,Магнит — работает (08:00-22:00),4,osm_active,48.77575205401823,44.5534619587508,POSITIVE,1.0,1.0
Краснооктябрьский,Магнит — доступен,5,osm_access,48.777796361496165,44.55170715156157,POSITIVE,1.0,1.0
Краснооктябрьский,Магнит — работает (08:00-21:30),4,osm_active,48.7755857684176,44.55293005511314,POSITIVE,1.0,1.0
Краснооктябрьский,Магнит — доступен,5,osm_access,48.77475598081664,44.55408594807617,POSITIVE,1.0,1.0
Краснооктябрьский,Детская поликлиника № 1 — доступен,5,osm_access,48.77021822462192,44.55499557976571,POSITIVE,1.0,1.0
Краснооктябрьский,Центр аллергологии и иммунологии — работает (Mo-Fr 08:00-19:00),4,osm_active,48.77637643596295,44.555937974773755,POSITIVE,1.0,1.0
Краснооктябрьский,Медуница — работает (24/7),4,osm_active,48.76810042644864,44.55595352207763,POSITIVE,1.0,1.0
